1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: ED000000381BCB21
Is Mission Active?  true
Mission Start:  Thu Aug 10 10:05:00 PDT 2017
Sample Rate:  Every 240 minute(s)
Number of Mission Samples:  1988
Total Samples:  2421
Roll Over Enabled?  false
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 �C
Low Temperature Alarm:  -40 �C

Date/Time,Unit,Value
10/08/17 10:05:00,C,20
10/08/17 14:05:00,C,23.5
10/08/17 18:05:00,C,25
10/08/17 22:05:00,C,17
11/08/17 02:05:00,C,14.5
11/08/17 06:05:00,C,6.5
11/08/17 10:05:00,C,15.5
11/08/17 14:05:00,C,18.5
11/08/17 18:05:00,C,17.5
11/08/17 22:05:00,C,12.5
12/08/17 02:05:00,C,7
12/08/17 06:05:00,C,5
12/08/17 10:05:00,C,15
12/08/17 14:05:00,C,23
12/08/17 18:05:00,C,17.5
12/08/17 22:05:00,C,14.5
13/08/17 02:05:00,C,10.5
13/08/17 06:05:00,C,5
13/08/17 10:05:00,C,14.5
13/08/17 14:05:00,C,18.5
13/08/17 18:05:00,C,20
13/08/17 22:05:00,C,11.5
14/08/17 02:05:00,C,4
14/08/17 06:05:00,C,6
14/08/17 10:05:00,C,9
14/08/17 14:05:00,C,18.5
14/08/17 18:05:00,C,13.5
14/08/17 22:05:00,C,9
15/08/17 02:05:00,C,8
15/08/17 06:05:00,C,6
15/08/17 10:05:00,C,15
15/08/17 14:05:00,C,17.5
15/08/17 18:05:00,C,21
15/08/17 22:05:00,C,7.5
16/08/17 02:05:00,C,4
16/08/17 06:05:00,C,1.5
16/08/17 10:05:00,C,14.5
16/08/17 14:05:00,C,17
16/08/17 18:05:00,C,22
16/08/17 22:05:00,C,13
17/08/17 02:05:00,C,7.5
17/08/17 06:05:00,C,3
17/08/17 10:05:00,C,12.5
17/08/17 14:05:00,C,18.5
17/08/17 18:05:00,C,22
17/08/17 22:05:00,C,10.5
18/08/17 02:05:00,C,5
18/08/17 06:05:00,C,7
18/08/17 10:05:00,C,12.5
18/08/17 14:05:00,C,16
18/08/17 18:05:00,C,16.5
18/08/17 22:05:00,C,8
19/08/17 02:05:00,C,2.5
19/08/17 06:05:00,C,2
19/08/17 10:05:00,C,10
19/08/17 14:05:00,C,15
19/08/17 18:05:00,C,12.5
19/08/17 22:05:00,C,10
20/08/17 02:05:00,C,1.5
20/08/17 06:05:00,C,-1
20/08/17 10:05:00,C,10
20/08/17 14:05:00,C,15.5
20/08/17 18:05:00,C,13.5
20/08/17 22:05:00,C,10
21/08/17 02:05:00,C,7.5
21/08/17 06:05:00,C,7.5
21/08/17 10:05:00,C,10.5
21/08/17 14:05:00,C,16
21/08/17 18:05:00,C,17.5
21/08/17 22:05:00,C,12.5
22/08/17 02:05:00,C,9.5
22/08/17 06:05:00,C,5
22/08/17 10:05:00,C,12
22/08/17 14:05:00,C,15
22/08/17 18:05:00,C,13.5
22/08/17 22:05:00,C,11
23/08/17 02:05:00,C,9
23/08/17 06:05:00,C,7.5
23/08/17 10:05:00,C,8
23/08/17 14:05:00,C,13
23/08/17 18:05:00,C,12
23/08/17 22:05:00,C,9.5
24/08/17 02:05:00,C,4
24/08/17 06:05:00,C,2.5
24/08/17 10:05:00,C,10
24/08/17 14:05:00,C,15
24/08/17 18:05:00,C,16.5
24/08/17 22:05:00,C,8.5
25/08/17 02:05:00,C,7.5
25/08/17 06:05:00,C,5
25/08/17 10:05:00,C,9.5
25/08/17 14:05:00,C,14.5
25/08/17 18:05:00,C,12.5
25/08/17 22:05:00,C,9.5
26/08/17 02:05:00,C,6.5
26/08/17 06:05:00,C,6
26/08/17 10:05:00,C,9.5
26/08/17 14:05:00,C,13
26/08/17 18:05:00,C,19.5
26/08/17 22:05:00,C,5.5
27/08/17 02:05:00,C,6.5
27/08/17 06:05:00,C,5.5
27/08/17 10:05:00,C,9
27/08/17 14:05:00,C,16
27/08/17 18:05:00,C,15.5
27/08/17 22:05:00,C,9
28/08/17 02:05:00,C,2
28/08/17 06:05:00,C,-1
28/08/17 10:05:00,C,10.5
28/08/17 14:05:00,C,14
28/08/17 18:05:00,C,13.5
28/08/17 22:05:00,C,9.5
29/08/17 02:05:00,C,8
29/08/17 06:05:00,C,7
29/08/17 10:05:00,C,9
29/08/17 14:05:00,C,18
29/08/17 18:05:00,C,20
29/08/17 22:05:00,C,15.5
30/08/17 02:05:00,C,14
30/08/17 06:05:00,C,14.5
30/08/17 10:05:00,C,14
30/08/17 14:05:00,C,21
30/08/17 18:05:00,C,21
30/08/17 22:05:00,C,8
31/08/17 02:05:00,C,7
31/08/17 06:05:00,C,4.5
31/08/17 10:05:00,C,9
31/08/17 14:05:00,C,12.5
31/08/17 18:05:00,C,13.5
31/08/17 22:05:00,C,8
01/09/17 02:05:00,C,-0.5
01/09/17 06:05:00,C,0
01/09/17 10:05:00,C,9.5
01/09/17 14:05:00,C,18
01/09/17 18:05:00,C,16.5
01/09/17 22:05:00,C,8
02/09/17 02:05:00,C,4.5
02/09/17 06:05:00,C,1.5
02/09/17 10:05:00,C,5.5
02/09/17 14:05:00,C,11.5
02/09/17 18:05:00,C,16
02/09/17 22:05:00,C,5
03/09/17 02:05:00,C,0
03/09/17 06:05:00,C,-2.5
03/09/17 10:05:00,C,7.5
03/09/17 14:05:00,C,12
03/09/17 18:05:00,C,12
03/09/17 22:05:00,C,10
04/09/17 02:05:00,C,7.5
04/09/17 06:05:00,C,7
04/09/17 10:05:00,C,10
04/09/17 14:05:00,C,16
04/09/17 18:05:00,C,14
04/09/17 22:05:00,C,10
05/09/17 02:05:00,C,8.5
05/09/17 06:05:00,C,9.5
05/09/17 10:05:00,C,11.5
05/09/17 14:05:00,C,18
05/09/17 18:05:00,C,23.5
05/09/17 22:05:00,C,18
06/09/17 02:05:00,C,18
06/09/17 06:05:00,C,15
06/09/17 10:05:00,C,14
06/09/17 14:05:00,C,21
06/09/17 18:05:00,C,16.5
06/09/17 22:05:00,C,11.5
07/09/17 02:05:00,C,8
07/09/17 06:05:00,C,7.5
07/09/17 10:05:00,C,8
07/09/17 14:05:00,C,15.5
07/09/17 18:05:00,C,15
07/09/17 22:05:00,C,8
08/09/17 02:05:00,C,4.5
08/09/17 06:05:00,C,3
08/09/17 10:05:00,C,8
08/09/17 14:05:00,C,12
08/09/17 18:05:00,C,12.5
08/09/17 22:05:00,C,7
09/09/17 02:05:00,C,5
09/09/17 06:05:00,C,4.5
09/09/17 10:05:00,C,7
09/09/17 14:05:00,C,11.5
09/09/17 18:05:00,C,14
09/09/17 22:05:00,C,6
10/09/17 02:05:00,C,4.5
10/09/17 06:05:00,C,-0.5
10/09/17 10:05:00,C,6
10/09/17 14:05:00,C,15
10/09/17 18:05:00,C,15.5
10/09/17 22:05:00,C,8
11/09/17 02:05:00,C,4.5
11/09/17 06:05:00,C,3
11/09/17 10:05:00,C,6
11/09/17 14:05:00,C,23.5
11/09/17 18:05:00,C,15
11/09/17 22:05:00,C,5.5
12/09/17 02:05:00,C,1
12/09/17 06:05:00,C,-2.5
12/09/17 10:05:00,C,4
12/09/17 14:05:00,C,13
12/09/17 18:05:00,C,18.5
12/09/17 22:05:00,C,3
13/09/17 02:05:00,C,0.5
13/09/17 06:05:00,C,-1.5
13/09/17 10:05:00,C,5
13/09/17 14:05:00,C,14
13/09/17 18:05:00,C,17.5
13/09/17 22:05:00,C,4.5
14/09/17 02:05:00,C,-1
14/09/17 06:05:00,C,-2
14/09/17 10:05:00,C,5.5
14/09/17 14:05:00,C,10
14/09/17 18:05:00,C,14
14/09/17 22:05:00,C,7
15/09/17 02:05:00,C,5.5
15/09/17 06:05:00,C,1
15/09/17 10:05:00,C,5.5
15/09/17 14:05:00,C,13.5
15/09/17 18:05:00,C,17
15/09/17 22:05:00,C,3.5
16/09/17 02:05:00,C,1
16/09/17 06:05:00,C,0
16/09/17 10:05:00,C,7.5
16/09/17 14:05:00,C,11.5
16/09/17 18:05:00,C,10.5
16/09/17 22:05:00,C,7.5
17/09/17 02:05:00,C,4
17/09/17 06:05:00,C,2
17/09/17 10:05:00,C,9
17/09/17 14:05:00,C,10.5
17/09/17 18:05:00,C,12
17/09/17 22:05:00,C,6
18/09/17 02:05:00,C,3.5
18/09/17 06:05:00,C,0
18/09/17 10:05:00,C,4.5
18/09/17 14:05:00,C,16
18/09/17 18:05:00,C,17
18/09/17 22:05:00,C,4.5
19/09/17 02:05:00,C,2
19/09/17 06:05:00,C,3.5
19/09/17 10:05:00,C,7
19/09/17 14:05:00,C,13
19/09/17 18:05:00,C,21
19/09/17 22:05:00,C,7.5
20/09/17 02:05:00,C,2.5
20/09/17 06:05:00,C,-0.5
20/09/17 10:05:00,C,5.5
20/09/17 14:05:00,C,13
20/09/17 18:05:00,C,15
20/09/17 22:05:00,C,3.5
21/09/17 02:05:00,C,0
21/09/17 06:05:00,C,-2
21/09/17 10:05:00,C,2.5
21/09/17 14:05:00,C,9
21/09/17 18:05:00,C,10
21/09/17 22:05:00,C,4.5
22/09/17 02:05:00,C,5.5
22/09/17 06:05:00,C,0
22/09/17 10:05:00,C,6
22/09/17 14:05:00,C,11.5
22/09/17 18:05:00,C,24.5
22/09/17 22:05:00,C,8.5
23/09/17 02:05:00,C,5
23/09/17 06:05:00,C,6.5
23/09/17 10:05:00,C,9
23/09/17 14:05:00,C,15
23/09/17 18:05:00,C,21
23/09/17 22:05:00,C,5
24/09/17 02:05:00,C,0
24/09/17 06:05:00,C,1
24/09/17 10:05:00,C,4
24/09/17 14:05:00,C,17
24/09/17 18:05:00,C,16.5
24/09/17 22:05:00,C,5.5
25/09/17 02:05:00,C,-1
25/09/17 06:05:00,C,-1.5
25/09/17 10:05:00,C,1
25/09/17 14:05:00,C,11.5
25/09/17 18:05:00,C,14.5
25/09/17 22:05:00,C,1
26/09/17 02:05:00,C,-1.5
26/09/17 06:05:00,C,1
26/09/17 10:05:00,C,2.5
26/09/17 14:05:00,C,4.5
26/09/17 18:05:00,C,5.5
26/09/17 22:05:00,C,3
27/09/17 02:05:00,C,2.5
27/09/17 06:05:00,C,2.5
27/09/17 10:05:00,C,4
27/09/17 14:05:00,C,8
27/09/17 18:05:00,C,15
27/09/17 22:05:00,C,8
28/09/17 02:05:00,C,1
28/09/17 06:05:00,C,2
28/09/17 10:05:00,C,8
28/09/17 14:05:00,C,14.5
28/09/17 18:05:00,C,15.5
28/09/17 22:05:00,C,3
29/09/17 02:05:00,C,-0.5
29/09/17 06:05:00,C,-3
29/09/17 10:05:00,C,2
29/09/17 14:05:00,C,11.5
29/09/17 18:05:00,C,13.5
29/09/17 22:05:00,C,0.5
30/09/17 02:05:00,C,3.5
30/09/17 06:05:00,C,2
30/09/17 10:05:00,C,3
30/09/17 14:05:00,C,16
30/09/17 18:05:00,C,11.5
30/09/17 22:05:00,C,2.5
01/10/17 02:05:00,C,-3
01/10/17 06:05:00,C,-4.5
01/10/17 10:05:00,C,-0.5
01/10/17 14:05:00,C,9
01/10/17 18:05:00,C,12.5
01/10/17 22:05:00,C,-1.5
02/10/17 02:05:00,C,-2.5
02/10/17 06:05:00,C,2
02/10/17 10:05:00,C,6
02/10/17 14:05:00,C,20
02/10/17 18:05:00,C,10.5
02/10/17 22:05:00,C,6
03/10/17 02:05:00,C,5
03/10/17 06:05:00,C,-1
03/10/17 10:05:00,C,2.5
03/10/17 14:05:00,C,10.5
03/10/17 18:05:00,C,8.5
03/10/17 22:05:00,C,6
04/10/17 02:05:00,C,7
04/10/17 06:05:00,C,7.5
04/10/17 10:05:00,C,8
04/10/17 14:05:00,C,10.5
04/10/17 18:05:00,C,11.5
04/10/17 22:05:00,C,7.5
05/10/17 02:05:00,C,1
05/10/17 06:05:00,C,0
05/10/17 10:05:00,C,5.5
05/10/17 14:05:00,C,8.5
05/10/17 18:05:00,C,8
05/10/17 22:05:00,C,5
06/10/17 02:05:00,C,-1
06/10/17 06:05:00,C,-3
06/10/17 10:05:00,C,-2.5
06/10/17 14:05:00,C,10
06/10/17 18:05:00,C,6.5
06/10/17 22:05:00,C,4.5
07/10/17 02:05:00,C,4
07/10/17 06:05:00,C,3.5
07/10/17 10:05:00,C,4
07/10/17 14:05:00,C,8
07/10/17 18:05:00,C,16.5
07/10/17 22:05:00,C,-2
08/10/17 02:05:00,C,0.5
08/10/17 06:05:00,C,5.5
08/10/17 10:05:00,C,5.5
08/10/17 14:05:00,C,12.5
08/10/17 18:05:00,C,15
08/10/17 22:05:00,C,3
09/10/17 02:05:00,C,1.5
09/10/17 06:05:00,C,0.5
09/10/17 10:05:00,C,2
09/10/17 14:05:00,C,5.5
09/10/17 18:05:00,C,3.5
09/10/17 22:05:00,C,1
10/10/17 02:05:00,C,-4
10/10/17 06:05:00,C,-7
10/10/17 10:05:00,C,-4.5
10/10/17 14:05:00,C,4
10/10/17 18:05:00,C,5
10/10/17 22:05:00,C,1
11/10/17 02:05:00,C,-1.5
11/10/17 06:05:00,C,-0.5
11/10/17 10:05:00,C,0.5
11/10/17 14:05:00,C,4.5
11/10/17 18:05:00,C,2.5
11/10/17 22:05:00,C,1
12/10/17 02:05:00,C,0.5
12/10/17 06:05:00,C,-2.5
12/10/17 10:05:00,C,-4.5
12/10/17 14:05:00,C,5
12/10/17 18:05:00,C,6.5
12/10/17 22:05:00,C,-2.5
13/10/17 02:05:00,C,-1.5
13/10/17 06:05:00,C,-3.5
13/10/17 10:05:00,C,-1.5
13/10/17 14:05:00,C,12
13/10/17 18:05:00,C,7.5
13/10/17 22:05:00,C,1.5
14/10/17 02:05:00,C,2
14/10/17 06:05:00,C,1
14/10/17 10:05:00,C,1.5
14/10/17 14:05:00,C,5
14/10/17 18:05:00,C,2.5
14/10/17 22:05:00,C,0.5
15/10/17 02:05:00,C,0
15/10/17 06:05:00,C,0
15/10/17 10:05:00,C,0.5
15/10/17 14:05:00,C,4
15/10/17 18:05:00,C,0.5
15/10/17 22:05:00,C,-0.5
16/10/17 02:05:00,C,-1.5
16/10/17 06:05:00,C,-1
16/10/17 10:05:00,C,-1
16/10/17 14:05:00,C,2.5
16/10/17 18:05:00,C,0
16/10/17 22:05:00,C,-1.5
17/10/17 02:05:00,C,-2
17/10/17 06:05:00,C,-2.5
17/10/17 10:05:00,C,-3
17/10/17 14:05:00,C,-1.5
17/10/17 18:05:00,C,-0.5
17/10/17 22:05:00,C,-7.5
18/10/17 02:05:00,C,-7.5
18/10/17 06:05:00,C,-5.5
18/10/17 10:05:00,C,-2
18/10/17 14:05:00,C,-2
18/10/17 18:05:00,C,-3
18/10/17 22:05:00,C,-3.5
19/10/17 02:05:00,C,-4
19/10/17 06:05:00,C,-5
19/10/17 10:05:00,C,-4
19/10/17 14:05:00,C,0.5
19/10/17 18:05:00,C,-3.5
19/10/17 22:05:00,C,-4.5
20/10/17 02:05:00,C,-5.5
20/10/17 06:05:00,C,-5.5
20/10/17 10:05:00,C,-5.5
20/10/17 14:05:00,C,-2
20/10/17 18:05:00,C,-3.5
20/10/17 22:05:00,C,-13
21/10/17 02:05:00,C,-14
21/10/17 06:05:00,C,-12
21/10/17 10:05:00,C,-10.5
21/10/17 14:05:00,C,-2
21/10/17 18:05:00,C,-2.5
21/10/17 22:05:00,C,-4
22/10/17 02:05:00,C,-5
22/10/17 06:05:00,C,-5
22/10/17 10:05:00,C,-7
22/10/17 14:05:00,C,1.5
22/10/17 18:05:00,C,-2.5
22/10/17 22:05:00,C,-8.5
23/10/17 02:05:00,C,-8
23/10/17 06:05:00,C,-10
23/10/17 10:05:00,C,-9
23/10/17 14:05:00,C,3.5
23/10/17 18:05:00,C,-1
23/10/17 22:05:00,C,-3.5
24/10/17 02:05:00,C,-6.5
24/10/17 06:05:00,C,-10
24/10/17 10:05:00,C,-6.5
24/10/17 14:05:00,C,3.5
24/10/17 18:05:00,C,-1
24/10/17 22:05:00,C,-8.5
25/10/17 02:05:00,C,-9.5
25/10/17 06:05:00,C,-7
25/10/17 10:05:00,C,-5
25/10/17 14:05:00,C,3.5
25/10/17 18:05:00,C,2.5
25/10/17 22:05:00,C,-0.5
26/10/17 02:05:00,C,-1.5
26/10/17 06:05:00,C,-1.5
26/10/17 10:05:00,C,-1
26/10/17 14:05:00,C,5.5
26/10/17 18:05:00,C,4
26/10/17 22:05:00,C,3.5
27/10/17 02:05:00,C,4
27/10/17 06:05:00,C,3
27/10/17 10:05:00,C,3.5
27/10/17 14:05:00,C,11
27/10/17 18:05:00,C,4
27/10/17 22:05:00,C,0.5
28/10/17 02:05:00,C,-1.5
28/10/17 06:05:00,C,-5
28/10/17 10:05:00,C,-4
28/10/17 14:05:00,C,9
28/10/17 18:05:00,C,1.5
28/10/17 22:05:00,C,-3.5
29/10/17 02:05:00,C,-3.5
29/10/17 06:05:00,C,-3.5
29/10/17 10:05:00,C,-3
29/10/17 14:05:00,C,2
29/10/17 18:05:00,C,4.5
29/10/17 22:05:00,C,-2.5
30/10/17 02:05:00,C,-2.5
30/10/17 06:05:00,C,-0.5
30/10/17 10:05:00,C,0.5
30/10/17 14:05:00,C,9
30/10/17 18:05:00,C,7
30/10/17 22:05:00,C,0.5
31/10/17 02:05:00,C,-2
31/10/17 06:05:00,C,2
31/10/17 10:05:00,C,2
31/10/17 14:05:00,C,2.5
31/10/17 18:05:00,C,2
31/10/17 22:05:00,C,0.5
01/11/17 02:05:00,C,1
01/11/17 06:05:00,C,2
01/11/17 10:05:00,C,0
01/11/17 14:05:00,C,1
01/11/17 18:05:00,C,1.5
01/11/17 22:05:00,C,1
02/11/17 02:05:00,C,-3.5
02/11/17 06:05:00,C,-8.5
02/11/17 10:05:00,C,-8
02/11/17 14:05:00,C,-1
02/11/17 18:05:00,C,-4.5
02/11/17 22:05:00,C,-8.5
03/11/17 02:05:00,C,-8
03/11/17 06:05:00,C,-5
03/11/17 10:05:00,C,-0.5
03/11/17 14:05:00,C,1
03/11/17 18:05:00,C,0
03/11/17 22:05:00,C,-0.5
04/11/17 02:05:00,C,-1
04/11/17 06:05:00,C,-2.5
04/11/17 10:05:00,C,-3
04/11/17 14:05:00,C,0.5
04/11/17 18:05:00,C,-6.5
04/11/17 22:05:00,C,-12
05/11/17 01:05:00,C,-13.5
05/11/17 05:05:00,C,-8.5
05/11/17 09:05:00,C,-7.5
05/11/17 13:05:00,C,-3.5
05/11/17 17:05:00,C,-5
05/11/17 21:05:00,C,-6
06/11/17 01:05:00,C,-4.5
06/11/17 05:05:00,C,-3.5
06/11/17 09:05:00,C,-4.5
06/11/17 13:05:00,C,-3
06/11/17 17:05:00,C,-5.5
06/11/17 21:05:00,C,-6.5
07/11/17 01:05:00,C,-8
07/11/17 05:05:00,C,-9.5
07/11/17 09:05:00,C,-14.5
07/11/17 13:05:00,C,-3.5
07/11/17 17:05:00,C,-12
07/11/17 21:05:00,C,-14.5
08/11/17 01:05:00,C,-16.5
08/11/17 05:05:00,C,-20.5
08/11/17 09:05:00,C,-19.5
08/11/17 13:05:00,C,-5.5
08/11/17 17:05:00,C,-15.5
08/11/17 21:05:00,C,-12
09/11/17 01:05:00,C,-17.5
09/11/17 05:05:00,C,-18
09/11/17 09:05:00,C,-16
09/11/17 13:05:00,C,-3.5
09/11/17 17:05:00,C,-9
09/11/17 21:05:00,C,-16.5
10/11/17 01:05:00,C,-13.5
10/11/17 05:05:00,C,-7
10/11/17 09:05:00,C,-7
10/11/17 13:05:00,C,-5.5
10/11/17 17:05:00,C,-7
10/11/17 21:05:00,C,-8
11/11/17 01:05:00,C,-8.5
11/11/17 05:05:00,C,-9
11/11/17 09:05:00,C,-9
11/11/17 13:05:00,C,-8
11/11/17 17:05:00,C,-8.5
11/11/17 21:05:00,C,-9
12/11/17 01:05:00,C,-11
12/11/17 05:05:00,C,-16
12/11/17 09:05:00,C,-19.5
12/11/17 13:05:00,C,-11.5
12/11/17 17:05:00,C,-12.5
12/11/17 21:05:00,C,-9
13/11/17 01:05:00,C,-8.5
13/11/17 05:05:00,C,-7.5
13/11/17 09:05:00,C,-7.5
13/11/17 13:05:00,C,-5.5
13/11/17 17:05:00,C,-7
13/11/17 21:05:00,C,-7.5
14/11/17 01:05:00,C,-7.5
14/11/17 05:05:00,C,-7.5
14/11/17 09:05:00,C,-8
14/11/17 13:05:00,C,-6.5
14/11/17 17:05:00,C,-8.5
14/11/17 21:05:00,C,-9
15/11/17 01:05:00,C,-10
15/11/17 05:05:00,C,-9.5
15/11/17 09:05:00,C,-12
15/11/17 13:05:00,C,-9
15/11/17 17:05:00,C,-15.5
15/11/17 21:05:00,C,-18.5
16/11/17 01:05:00,C,-17.5
16/11/17 05:05:00,C,-19.5
16/11/17 09:05:00,C,-15
16/11/17 13:05:00,C,-13.5
16/11/17 17:05:00,C,-13
16/11/17 21:05:00,C,-12
17/11/17 01:05:00,C,-11.5
17/11/17 05:05:00,C,-8.5
17/11/17 09:05:00,C,-10
17/11/17 13:05:00,C,-4
17/11/17 17:05:00,C,-7.5
17/11/17 21:05:00,C,-8.5
18/11/17 01:05:00,C,-10.5
18/11/17 05:05:00,C,-11.5
18/11/17 09:05:00,C,-12.5
18/11/17 13:05:00,C,-12
18/11/17 17:05:00,C,-14
18/11/17 21:05:00,C,-14.5
19/11/17 01:05:00,C,-16.5
19/11/17 05:05:00,C,-17.5
19/11/17 09:05:00,C,-23
19/11/17 13:05:00,C,-18.5
19/11/17 17:05:00,C,-19.5
19/11/17 21:05:00,C,-19.5
20/11/17 01:05:00,C,-19.5
20/11/17 05:05:00,C,-16.5
20/11/17 09:05:00,C,-17
20/11/17 13:05:00,C,-15.5
20/11/17 17:05:00,C,-16.5
20/11/17 21:05:00,C,-16
21/11/17 01:05:00,C,-17
21/11/17 05:05:00,C,-22
21/11/17 09:05:00,C,-23.5
21/11/17 13:05:00,C,-14.5
21/11/17 17:05:00,C,-25
21/11/17 21:05:00,C,-26.5
22/11/17 01:05:00,C,-25
22/11/17 05:05:00,C,-22
22/11/17 09:05:00,C,-18
22/11/17 13:05:00,C,-15
22/11/17 17:05:00,C,-17
22/11/17 21:05:00,C,-16.5
23/11/17 01:05:00,C,-17
23/11/17 05:05:00,C,-17.5
23/11/17 09:05:00,C,-21
23/11/17 13:05:00,C,-16.5
23/11/17 17:05:00,C,-18.5
23/11/17 21:05:00,C,-18
24/11/17 01:05:00,C,-18.5
24/11/17 05:05:00,C,-18.5
24/11/17 09:05:00,C,-17
24/11/17 13:05:00,C,-15
24/11/17 17:05:00,C,-17
24/11/17 21:05:00,C,-17.5
25/11/17 01:05:00,C,-17
25/11/17 05:05:00,C,-17
25/11/17 09:05:00,C,-18
25/11/17 13:05:00,C,-13.5
